genero,sede,ingreso
hombre,Córdoba,129889.80463428338
hombre,San Luis,16608.361738146355
mujer,Buenos Aires,90600.46644168442
hombre,San Luis,36302.311032784026
mujer,Buenos Aires,23784.095793458648
hombre,Buenos Aires,189073.20908876348
mujer,Buenos Aires,80756.275617717
mujer,Buenos Aires,105502.96842513364
mujer,Santa Fe,62254.51695048452
hombre,Buenos Aires,189859.24940042314
hombre,Córdoba,64021.608228262965
hombre,Santa Fe,54280.170601749945
mujer,Córdoba,290204.79113910085
mujer,San Luis,26737.371039600504
mujer,Santa Fe,26234.062414846212
otros,Buenos Aires,29855.586263323305
hombre,Buenos Aires,50278.79506180299
hombre,Santa Fe,131859.88127176627
mujer,Buenos Aires,136540.0316913166
mujer,Buenos Aires,76511.34510199243
hombre,Mendoza,109339.4968170083
hombre,San Luis,96385.36847241361
mujer,Mendoza,44295.288505335426
mujer,Córdoba,97019.36743568013
mujer,Córdoba,49347.00098322644
hombre,Buenos Aires,233281.24950895095
mujer,Santa Fe,24483.27894378454
hombre,Mendoza,113473.52933006699
mujer,Buenos Aires,50608.91488098368
mujer,San Luis,32929.983107533
hombre,Mendoza,100906.41105478424
hombre,Buenos Aires,351738.0771375956
hombre,Córdoba,155121.03149788541
hombre,Córdoba,91208.65902597208
mujer,Córdoba,56917.059677311416
mujer,San Luis,55787.62998067267
mujer,Mendoza,20492.96178484853
mujer,Mendoza,41249.389841242104
otros,Córdoba,30882.29851621409
hombre,Mendoza,89680.87922294775
mujer,Buenos Aires,84467.78086204779
hombre,Córdoba,93732.20285385658
hombre,Santa Fe,104668.35099399317
mujer,Buenos Aires,105180.79199626317
hombre,Mendoza,135870.31590936394
mujer,Mendoza,50390.72095809564
mujer,Buenos Aires,126203.3037852443
hombre,Córdoba,320869.45898413466
mujer,Buenos Aires,56771.502429343986
mujer,Santa Fe,36584.41314650454
mujer,San Luis,42156.200648291524
hombre,Buenos Aires,97065.74891124567
mujer,Córdoba,71349.90003556735
hombre,Buenos Aires,63200.834687571565
hombre,Buenos Aires,178519.03201346975
hombre,Santa Fe,26124.749137548173
mujer,Mendoza,78107.02231478317
hombre,Mendoza,84931.47565197581
mujer,Buenos Aires,25645.958756990553
mujer,Córdoba,116206.45221598046
mujer,Buenos Aires,153150.7002862929
hombre,Córdoba,73754.67652904286
hombre,Buenos Aires,164435.55719957576
hombre,Córdoba,230512.88328151064
hombre,Buenos Aires,41833.19954403421
otros,Mendoza,11699.416557324967
hombre,San Luis,81073.019254737
mujer,Mendoza,42796.20890361923
hombre,Córdoba,65256.14382022694
hombre,Buenos Aires,474098.1721750508
hombre,Santa Fe,36117.87076927849
mujer,Santa Fe,27481.83099155149
mujer,Mendoza,179553.30070933636
mujer,San Luis,49875.88289397738
hombre,Mendoza,96077.52932130727
mujer,Buenos Aires,93636.40853441608
mujer,Buenos Aires,62246.825157238716
hombre,Mendoza,267780.78237804794
mujer,Córdoba,33760.69126446018
mujer,Córdoba,86453.56607762916
mujer,Mendoza,60011.51844100879
mujer,Mendoza,41771.70092624078
mujer,Mendoza,112413.44812141007
hombre,Córdoba,102313.33485072246
hombre,Santa Fe,83170.04132474505
hombre,Buenos Aires,166992.6190715726
otros,San Luis,12489.88798578584
mujer,Buenos Aires,17624.450592317517
hombre,Córdoba,74050.0512830891
otros,San Luis,15999.742221945322
hombre,Buenos Aires,153467.22068061595
hombre,Córdoba,78721.95176003073
mujer,Buenos Aires,189246.17073121676
hombre,Córdoba,106856.3347655251
mujer,Buenos Aires,49733.994077707786
mujer,Mendoza,73812.83154049714
mujer,Buenos Aires,65137.70351248601
mujer,Buenos Aires,59083.998525828996
otros,Santa Fe,17302.310028820455
mujer,San Luis,67602.46012472527
hombre,Santa Fe,93219.67630083978
mujer,Buenos Aires,160684.9770514458
mujer,Mendoza,37271.30658215254
otros,Córdoba,66182.4651742765
hombre,Córdoba,79062.24694742188
hombre,Buenos Aires,272379.61152449873
mujer,Mendoza,127741.4682650066
mujer,Córdoba,29821.38887034137
hombre,Buenos Aires,67757.63246951057
mujer,Buenos Aires,52144.005369678685
hombre,Mendoza,49021.86171171226
mujer,Buenos Aires,89236.32127794073
mujer,San Luis,149313.6142391349
hombre,Córdoba,241288.21128290333
mujer,Buenos Aires,245156.30013761725
mujer,Mendoza,110626.27258496052
mujer,Buenos Aires,73513.96158972324
hombre,Buenos Aires,136853.85916744918
hombre,San Luis,43625.18619180344
hombre,Santa Fe,31845.396408831442
hombre,Córdoba,62423.66007360424
mujer,Buenos Aires,117503.23302411468
hombre,Mendoza,81436.81315693379
hombre,Buenos Aires,287892.94982204353
hombre,Mendoza,320475.6988777216
hombre,Santa Fe,25600.51863522775
hombre,Mendoza,224060.99070420113
mujer,Córdoba,155174.37897650857
mujer,Buenos Aires,58410.26414851726
mujer,Mendoza,142939.757593699
mujer,Mendoza,40292.40351117336
hombre,Buenos Aires,69235.86685960689
mujer,Mendoza,23455.421071541314
hombre,Buenos Aires,99554.69449240412
hombre,Santa Fe,38772.933634164336
hombre,Mendoza,155438.7177481037
mujer,Buenos Aires,20194.656488879846
mujer,Córdoba,59500.86908586421
mujer,San Luis,82657.24538507457
otros,Córdoba,13709.073735235575
hombre,San Luis,274173.5294063545
otros,Mendoza,62232.92169579182
hombre,San Luis,302352.883554466
mujer,Mendoza,215250.50968954418
hombre,Buenos Aires,176260.76374361975
hombre,Buenos Aires,112741.72906933598
mujer,San Luis,23449.054901603133
hombre,Buenos Aires,127829.99929956655
mujer,Mendoza,77591.60389362156
mujer,Mendoza,89254.22522127391
hombre,Córdoba,35745.20251569626
mujer,Buenos Aires,105508.90713620791
mujer,Santa Fe,20730.83192018503
hombre,Buenos Aires,79232.32824924505
hombre,Córdoba,142829.2947348493
hombre,Córdoba,474274.58268947515
otros,Mendoza,15798.738441590976
hombre,Santa Fe,45626.70308292684
mujer,Córdoba,126924.69650177256
hombre,Buenos Aires,161687.47898189764
mujer,Santa Fe,43789.06267394042
mujer,Santa Fe,49037.0659165392
mujer,Mendoza,120923.84239179689
mujer,Buenos Aires,87450.03175528723
hombre,Santa Fe,69522.57603547876
mujer,Buenos Aires,46636.52090493163
hombre,Mendoza,149113.4024205806
hombre,Santa Fe,113918.00375584967
mujer,Buenos Aires,23125.698304275775
mujer,Santa Fe,153313.09690463808
mujer,Mendoza,32500.052276137096
hombre,Córdoba,143876.58028870696
mujer,Mendoza,193747.16877614567
mujer,Mendoza,56915.524601301484
mujer,Buenos Aires,48819.78640238426
hombre,Mendoza,23786.856740834704
hombre,Buenos Aires,77678.51525957357
mujer,Córdoba,105351.70862639355
hombre,Mendoza,65067.905143607924
mujer,San Luis,139818.43905263644
mujer,San Luis,20810.96008254737
hombre,Buenos Aires,100912.62388125232
mujer,Buenos Aires,39774.185213818186
mujer,Córdoba,99938.20943997655
hombre,Buenos Aires,93334.76628567089
hombre,Santa Fe,129095.7538188752
hombre,San Luis,67418.61260695901
mujer,Mendoza,111714.90708522807
mujer,Mendoza,44962.47481826534
hombre,San Luis,38517.72031175846
mujer,Buenos Aires,86448.0228125754
mujer,Mendoza,32996.77932515467
hombre,Buenos Aires,87737.11896742614
hombre,Buenos Aires,318346.8769128745
hombre,San Luis,121999.0976423672
hombre,Mendoza,101010.65133553256
mujer,Santa Fe,13326.454571589922
mujer,Santa Fe,49430.47231420305
hombre,San Luis,223150.20814187094
mujer,Mendoza,41957.67366651623
mujer,Buenos Aires,108811.7822756532
hombre,Buenos Aires,142786.66758985308
hombre,Buenos Aires,209819.4547078972
mujer,Mendoza,131486.1257544241
mujer,Mendoza,154523.85250154237
mujer,Córdoba,36787.921149272755
otros,Mendoza,19120.64397276108
hombre,Mendoza,43263.15651934792
mujer,Mendoza,67238.8574095048
hombre,San Luis,88320.03327274945
hombre,Córdoba,51336.579076036396
hombre,Buenos Aires,74924.50162035915
mujer,Santa Fe,35138.10418073862
mujer,Córdoba,102517.18402416164
hombre,Mendoza,122472.55248634075
mujer,Santa Fe,25298.620744864707
mujer,Buenos Aires,56919.73053390942
hombre,Buenos Aires,121889.5603375047
hombre,Buenos Aires,168169.16678125932
mujer,Mendoza,60737.7738822172
mujer,Córdoba,82020.29008755992
mujer,Buenos Aires,289099.5292114003
mujer,Santa Fe,37851.61583180636
mujer,Buenos Aires,57506.86044100311
hombre,Mendoza,94645.18811390352
mujer,Santa Fe,13108.591358033136
hombre,Buenos Aires,67547.63656170486
mujer,San Luis,47467.920942323195
mujer,Córdoba,41313.42162432064
hombre,Santa Fe,154207.76697117343
mujer,Córdoba,61771.54784428416
hombre,Buenos Aires,180767.3973143801
hombre,Córdoba,113153.76826634981
hombre,Mendoza,30083.378738091145
mujer,Córdoba,69847.054752015
hombre,Mendoza,296794.3983447381
otros,San Luis,74894.37222508754
hombre,Buenos Aires,122701.70347800956
mujer,Buenos Aires,64284.90267735003
hombre,Córdoba,71340.11530044963
hombre,Buenos Aires,92907.76505501868
mujer,Buenos Aires,103382.71807484633
mujer,San Luis,45204.34992324425
hombre,Córdoba,46347.0277465112
hombre,Buenos Aires,50594.76398607709
hombre,Buenos Aires,153965.14616820964
hombre,Córdoba,34875.66779348481
hombre,San Luis,99634.12664858923
hombre,Buenos Aires,216983.27232770598
mujer,Córdoba,47367.915758498035
hombre,Córdoba,405246.4266430871
mujer,Buenos Aires,182180.1631434017
mujer,Buenos Aires,175160.49232448556
hombre,San Luis,54459.92713523208
hombre,Buenos Aires,86134.57334077747
hombre,Mendoza,95960.40276994545
mujer,Buenos Aires,256604.51738957656
hombre,Mendoza,133023.7266141224
hombre,Córdoba,31252.463147754406
mujer,Buenos Aires,120687.45323272192
mujer,San Luis,59744.67453328002
hombre,Mendoza,135867.8442701582
mujer,Mendoza,111333.66338683193
mujer,Buenos Aires,201805.66581957476
mujer,Buenos Aires,108884.62734238495
mujer,Santa Fe,34778.00610842352
mujer,Buenos Aires,59376.92461920226
hombre,Santa Fe,53339.440023418705
hombre,Mendoza,24014.885602947394
hombre,Buenos Aires,129453.430521316
hombre,Buenos Aires,193864.15822724352
hombre,Córdoba,103503.84869504784
hombre,San Luis,68279.56146085073
hombre,Buenos Aires,151814.30755736955
hombre,Buenos Aires,255133.72249359672
hombre,Mendoza,60473.86270439778
mujer,Santa Fe,80903.12928656396
mujer,Buenos Aires,45891.965209461734
mujer,Córdoba,59818.194123883535
hombre,Santa Fe,69571.19117010076
mujer,Buenos Aires,83052.92549809489
hombre,Córdoba,82331.2107067154
hombre,Buenos Aires,693935.1200491035
hombre,Córdoba,99043.93791637
mujer,San Luis,42546.83980118337
mujer,Buenos Aires,34499.409063131665
mujer,Córdoba,82169.13299768254
mujer,Santa Fe,10624.655056118274
mujer,Buenos Aires,75006.76116283181
hombre,San Luis,109931.54810930739
hombre,Córdoba,440324.350497908
mujer,Mendoza,149177.12056183018
hombre,Buenos Aires,511278.11730216356
otros,San Luis,34212.43010684073
hombre,Córdoba,102113.16813701049
hombre,Córdoba,99824.54484271615
mujer,San Luis,177032.96425499645
hombre,Córdoba,88632.05169168023
hombre,Córdoba,15653.557671877075
hombre,Mendoza,17152.697239893452
hombre,San Luis,73312.91156210839
hombre,Mendoza,45404.58818035486
hombre,Buenos Aires,46064.82407347506
mujer,Córdoba,219531.67654454196
mujer,Mendoza,33097.11407766329
mujer,Buenos Aires,184024.8142779901
mujer,Córdoba,140496.13425530872
mujer,Mendoza,21614.32540499474
mujer,Buenos Aires,341547.2940977499
mujer,Santa Fe,66033.40850819465
hombre,Santa Fe,53838.80381689558
mujer,Buenos Aires,19305.889846613027
mujer,San Luis,29379.964651527447
mujer,Buenos Aires,232974.0018583339
mujer,San Luis,100788.70713717924
otros,Buenos Aires,31135.6111340159
hombre,Buenos Aires,210111.0812470433
mujer,Mendoza,52880.51910783415
hombre,San Luis,59027.15545368728
hombre,Santa Fe,51563.59944713625
mujer,Córdoba,72293.68513198501
hombre,Buenos Aires,134078.9405733868
hombre,Córdoba,140253.16478833804
mujer,Mendoza,120307.50907065929
hombre,Santa Fe,47179.966674389914
hombre,San Luis,75457.08038228158
mujer,Santa Fe,25459.457773920472
hombre,Buenos Aires,84733.49999920688
mujer,Córdoba,105335.83634057576
mujer,Buenos Aires,44729.74805204731
otros,Córdoba,10642.617602780228
hombre,San Luis,181627.42541953627
hombre,San Luis,231536.21601615756
mujer,Mendoza,21806.32780306096
hombre,Buenos Aires,72053.16602261411
hombre,San Luis,112827.57472587095
hombre,Córdoba,176612.89532830456
hombre,San Luis,35136.78186126303
hombre,Buenos Aires,156608.90850256494
mujer,Buenos Aires,108551.1946889265
mujer,Mendoza,99808.01875338971
hombre,Buenos Aires,184541.58363708755
hombre,Mendoza,172921.3186196889
hombre,San Luis,126135.38270499994
mujer,Mendoza,14964.354223100834
mujer,Buenos Aires,36887.29130912903
mujer,Mendoza,27823.679334709264
hombre,Buenos Aires,110463.31717138553
mujer,Buenos Aires,65936.53324581064
mujer,Buenos Aires,85428.1678755971
hombre,Buenos Aires,139749.46469851222
hombre,Buenos Aires,128762.40905281229
mujer,Mendoza,47889.297300192986
mujer,Buenos Aires,131022.24249006534
mujer,Buenos Aires,161774.2138071641
hombre,Mendoza,259532.40733441638
mujer,Córdoba,33600.0714659102
hombre,Santa Fe,21596.213252044276
hombre,Córdoba,41401.586158913175
hombre,Mendoza,113497.53945326866
mujer,Buenos Aires,59143.5293077091
mujer,San Luis,180292.91529244487
mujer,Buenos Aires,78517.18229698935
hombre,Córdoba,170233.89817411004
hombre,Buenos Aires,173871.65414252356
mujer,Mendoza,32272.877528360415
hombre,San Luis,62200.930359312464
hombre,Mendoza,151769.6287471537
hombre,Mendoza,65331.91966481919
hombre,Córdoba,55639.51169890916
hombre,Santa Fe,77917.35444895788
hombre,Córdoba,221074.5867614706
hombre,Buenos Aires,124060.26635698402
hombre,Mendoza,161234.47513448907
mujer,Córdoba,192471.3992687272
hombre,San Luis,91998.19123000199
hombre,Córdoba,69858.16287539099
mujer,Córdoba,55352.592231500006
hombre,Buenos Aires,148673.48657665358
mujer,Córdoba,51700.53731389842
mujer,Santa Fe,24918.390771911527
mujer,San Luis,109825.0030333239
hombre,Buenos Aires,135463.69556075477
mujer,San Luis,35613.490165017676
hombre,Buenos Aires,156203.04781992376
otros,Córdoba,71086.52729341055
otros,San Luis,26695.556478186987
mujer,Mendoza,92350.66541419423
hombre,Buenos Aires,487747.95479690784
hombre,Córdoba,40779.40783424955
mujer,San Luis,27013.969085992998
hombre,Córdoba,148264.31035730147
mujer,Buenos Aires,164111.73590931145
hombre,Córdoba,621007.372968071
mujer,Buenos Aires,133317.43246449973
mujer,Buenos Aires,32549.17261868536
hombre,Córdoba,126546.16025143808
mujer,Buenos Aires,80345.20155447737
mujer,Mendoza,86612.47233093184
mujer,Córdoba,146527.12840306826
mujer,Córdoba,231102.10572772133
hombre,Córdoba,116545.05612646384
hombre,Mendoza,52304.47700603395
mujer,Buenos Aires,106919.34958179166
mujer,San Luis,68521.77428663164
mujer,Santa Fe,10200.73680465828
mujer,San Luis,50627.108116724106
hombre,Buenos Aires,300447.3771027556
mujer,Córdoba,105387.77517612666
mujer,Buenos Aires,37299.69098911547
mujer,Buenos Aires,119150.9191737905
mujer,Santa Fe,41255.046870088816
mujer,Mendoza,42331.428452764594
hombre,Buenos Aires,1507506.457088513
hombre,Buenos Aires,1254758.7029647157
hombre,Buenos Aires,244910.8623729019
hombre,San Luis,148446.55924119716
hombre,Córdoba,329329.9108947953
mujer,Mendoza,92356.27019894817
hombre,Córdoba,108134.84088275113
mujer,Buenos Aires,90618.03360560202
hombre,Buenos Aires,161737.26556013455
hombre,Córdoba,45094.01944682681
mujer,Buenos Aires,55036.98741848761
hombre,San Luis,47364.33004323831
hombre,Córdoba,251314.76634857277
mujer,San Luis,64767.87629624298
mujer,Córdoba,26649.512501719662
mujer,San Luis,63051.44884428129
mujer,Córdoba,41018.21469451533
mujer,Santa Fe,103435.10614796408
mujer,Mendoza,34465.21016790838
mujer,Buenos Aires,180945.39733046395
mujer,Santa Fe,156859.45894970107
mujer,Buenos Aires,192570.78872862362
mujer,Córdoba,91395.61328986904
mujer,Córdoba,44295.93658963542
mujer,Mendoza,49564.94850124658
mujer,Mendoza,33423.163986918626
hombre,Mendoza,213383.15676345894
mujer,Buenos Aires,87474.12207853782
mujer,San Luis,29084.33749585535
mujer,Mendoza,119312.23588622856
hombre,Santa Fe,37693.795210799566
hombre,Mendoza,51625.21491090936
mujer,Mendoza,202710.7183405145
hombre,Buenos Aires,97925.75387184962
mujer,San Luis,19151.631469347518
mujer,Córdoba,91485.14558525782
hombre,Córdoba,60499.02570247975
hombre,Buenos Aires,186293.489432833
mujer,Buenos Aires,62631.72018343542
hombre,Buenos Aires,117357.24513926047
mujer,Santa Fe,117713.42866970145
mujer,Mendoza,192591.66458764422
mujer,Buenos Aires,187038.74173085543
mujer,Buenos Aires,55067.90472907443
mujer,Mendoza,165331.1978822394
hombre,Santa Fe,81964.52164452663
mujer,Mendoza,47092.14634981571
hombre,Córdoba,56210.05736197089
mujer,San Luis,50604.69518775712
mujer,Santa Fe,21496.508568204168
mujer,Buenos Aires,91778.79280642018
mujer,Mendoza,145823.1081052059
mujer,Mendoza,74979.63972765126
mujer,Buenos Aires,108108.31798945158
mujer,Córdoba,123918.80441265662
mujer,Buenos Aires,90973.02132411143
hombre,Mendoza,83147.1161896517
hombre,San Luis,70772.93106149412
mujer,Córdoba,254726.66021164268
hombre,Buenos Aires,201723.4653050793
hombre,Buenos Aires,177304.94640624517
mujer,Buenos Aires,110722.21047606535
mujer,Mendoza,57714.253276746975
hombre,Santa Fe,51635.887351753605
hombre,Santa Fe,64650.91330070826
hombre,Santa Fe,70487.08084904728
hombre,Mendoza,186170.11304707962
mujer,Córdoba,66739.90702021036
mujer,Santa Fe,112260.70865704899
hombre,Córdoba,84812.92481566798
hombre,Córdoba,54090.7859471056
hombre,Santa Fe,69666.81767350917
otros,San Luis,37177.51385857896
otros,Córdoba,19510.472837127345
mujer,Santa Fe,54685.75530423498
mujer,Córdoba,119391.28181979382
mujer,Buenos Aires,93729.15583137289
hombre,Buenos Aires,89288.05629310217
mujer,Buenos Aires,53196.030222902475
hombre,San Luis,162717.92754270107
hombre,Mendoza,61405.79620635679
mujer,Córdoba,107762.80581098559
mujer,Santa Fe,39558.24136341623
hombre,San Luis,54616.29755075408
hombre,Buenos Aires,165010.2785201606
mujer,Buenos Aires,431806.2101791437
hombre,Santa Fe,249575.13561296667
mujer,San Luis,65006.78803144172
hombre,Santa Fe,41343.028197719716
mujer,San Luis,64993.792017600616
hombre,Buenos Aires,101221.49303628603
hombre,Mendoza,43239.19500145492
mujer,San Luis,88491.15729956202
mujer,Buenos Aires,89463.33226500533
otros,Buenos Aires,54951.31734297106
hombre,Mendoza,17479.85083574894
hombre,Santa Fe,143583.21844560053
hombre,Córdoba,162466.06735424482
hombre,Córdoba,41702.235553113715
mujer,Buenos Aires,72944.23614813338
hombre,Buenos Aires,248050.07129786455
hombre,Buenos Aires,235773.84617060595
hombre,Mendoza,59150.096998741676
mujer,Córdoba,138864.05201908216
mujer,San Luis,127562.31598304068
mujer,San Luis,39605.55153853954
otros,Mendoza,18496.094756161903
mujer,Córdoba,62388.746134289824
mujer,San Luis,73835.49820390987
hombre,Buenos Aires,80192.54960219772
otros,Buenos Aires,77089.59259394892
hombre,Mendoza,62258.26364484547
mujer,Mendoza,84273.94834321417
hombre,Buenos Aires,109570.9720738353
hombre,Buenos Aires,280148.82526953
otros,Córdoba,15326.194785517282
mujer,Santa Fe,47652.95200962011
hombre,Córdoba,161023.55267527592
mujer,Buenos Aires,69894.21406319743
otros,Mendoza,27214.70973206763
mujer,Mendoza,13396.766716051592
hombre,Buenos Aires,148426.26524370592
hombre,San Luis,84461.62535691532
mujer,Buenos Aires,68542.2805357277
mujer,Santa Fe,200207.00976995545
mujer,Mendoza,16964.79553662363
mujer,Buenos Aires,381512.6466964911
hombre,Córdoba,157285.7599690316
mujer,Córdoba,37893.746135382025
mujer,Buenos Aires,113475.71445745374
hombre,Buenos Aires,60767.48400802105
mujer,Buenos Aires,149792.74842739338
hombre,Buenos Aires,124123.9927079783
mujer,Córdoba,80215.11165214342
hombre,Mendoza,150440.41097626544
mujer,Mendoza,81495.89628455605
mujer,Córdoba,81352.83860921502
mujer,Buenos Aires,136565.7819938085
hombre,Santa Fe,51057.419602028545
hombre,Santa Fe,104596.8956596633
mujer,Mendoza,24175.222963795393
hombre,San Luis,154954.94277773763
otros,Buenos Aires,84893.11306236009
hombre,Córdoba,88790.12526077557
hombre,Córdoba,84425.77278108207
hombre,Buenos Aires,47910.896146245
hombre,Mendoza,129125.06417738774
hombre,Buenos Aires,125700.09486849885
mujer,Mendoza,82154.21468264097
hombre,San Luis,83296.82667118216
hombre,Buenos Aires,168836.71473489364
mujer,Córdoba,139947.59490567795
mujer,Santa Fe,9590.485108525821
hombre,San Luis,80233.61402338867
hombre,Santa Fe,47442.24918438601
mujer,Buenos Aires,64874.035225038446
mujer,Mendoza,58045.62314332314
hombre,Córdoba,35176.89270461697
otros,Córdoba,31965.49118336065
hombre,Mendoza,58485.18857318258
mujer,Córdoba,82376.08094490295
hombre,Mendoza,24136.722328028212
mujer,Córdoba,53196.38709404245
mujer,Córdoba,54577.424603488005
mujer,Buenos Aires,205491.09737015204
mujer,Santa Fe,34287.459795618364
mujer,Buenos Aires,97385.21785787966
hombre,Buenos Aires,228199.86666991076
hombre,Santa Fe,40648.313773511305
hombre,Buenos Aires,112713.05893001267
hombre,Buenos Aires,180098.96465586984
hombre,Buenos Aires,90463.4041945141
hombre,Buenos Aires,182443.5466252048
hombre,Córdoba,113377.35949758427
mujer,Mendoza,51217.92424410411
mujer,Mendoza,79613.405494026
otros,San Luis,7359.496315302749
mujer,Córdoba,49555.57241858466
mujer,Buenos Aires,94821.5649660548
hombre,San Luis,203179.7674942892
mujer,San Luis,21697.60779995054
mujer,Buenos Aires,21020.81285367395
hombre,San Luis,143042.69154564093
hombre,Mendoza,106125.6954169568
mujer,Mendoza,74868.23211494341
mujer,Córdoba,101675.80536763566
hombre,Santa Fe,56357.47255601197
hombre,Mendoza,47162.5091861004
otros,Santa Fe,11520.459296529352
mujer,Mendoza,68875.94136966665
hombre,Mendoza,84920.14130825238
hombre,Córdoba,178332.4540543559
mujer,San Luis,20759.07208598886
mujer,Buenos Aires,59932.36898828806
mujer,Buenos Aires,45027.11624857485
otros,Mendoza,96144.7304581897
mujer,San Luis,23018.1285157042
hombre,Buenos Aires,73741.15358977228
hombre,Buenos Aires,189420.61896999503
mujer,Buenos Aires,77924.8028271469
otros,Buenos Aires,21674.99395894451
mujer,Buenos Aires,65807.2630112489
hombre,San Luis,291555.0422355932
hombre,Buenos Aires,115865.42833068942
mujer,San Luis,42764.395293870635
hombre,Córdoba,450212.4834618578
hombre,Córdoba,239756.15338919734
hombre,Buenos Aires,53774.32888823609
mujer,San Luis,127411.74968784265
hombre,Mendoza,166276.60373872795
hombre,San Luis,93872.40252900448
hombre,San Luis,65084.63628347002
hombre,Buenos Aires,62418.840650041726
hombre,Buenos Aires,120109.4872907879
mujer,Córdoba,190696.89121056776
hombre,Mendoza,27762.508707209163
hombre,Córdoba,198722.78956184204
mujer,Buenos Aires,27181.20912626138
hombre,San Luis,79050.37347911016
hombre,Mendoza,21126.313543208504
hombre,Córdoba,65788.94026988138
mujer,Mendoza,26860.921655597995
hombre,Mendoza,80277.79915224477
mujer,Mendoza,30023.919532848908
mujer,Buenos Aires,199916.22887727714
hombre,Buenos Aires,100308.02115912839
mujer,Mendoza,25345.903532948065
hombre,Buenos Aires,65779.72713762145
hombre,Buenos Aires,120523.07118112019
hombre,Córdoba,63133.5063385608
hombre,San Luis,86542.55016209933
mujer,Buenos Aires,29238.36531417293
mujer,Santa Fe,20588.464405193725
hombre,Buenos Aires,737621.351129396
hombre,Córdoba,84718.2816605438
mujer,Santa Fe,77965.58917855944
mujer,Córdoba,96708.92183043082
mujer,Buenos Aires,36945.99764213085
hombre,Córdoba,111472.81897821605
mujer,Buenos Aires,41267.86049981954
mujer,Buenos Aires,44645.04120329257
mujer,San Luis,137134.1130603263
hombre,San Luis,98113.71439094451
hombre,Santa Fe,20933.63092406296
mujer,Córdoba,167989.01235044113
hombre,Buenos Aires,44684.67206324503
mujer,Buenos Aires,202250.6500941597
otros,Buenos Aires,39189.99641736821
mujer,Córdoba,71336.67085442839
otros,Córdoba,28818.458837086702
mujer,Buenos Aires,327379.442418924
mujer,Mendoza,19631.897737780673
hombre,San Luis,53337.38655756724
hombre,San Luis,82206.86207381706
mujer,Santa Fe,41347.32134722155
hombre,San Luis,15741.932622069027
hombre,Córdoba,54169.21884897318
mujer,Santa Fe,19175.155509159835
hombre,Buenos Aires,51488.17442018743
mujer,Buenos Aires,198055.0176531557
mujer,San Luis,79993.24368255462
otros,Mendoza,20671.280201788326
hombre,San Luis,217921.31773447338
mujer,Buenos Aires,37817.45034683995
hombre,Buenos Aires,177791.01754609912
hombre,Santa Fe,25270.327882138674
mujer,Mendoza,70982.59708847372
hombre,San Luis,86716.04464327841
otros,Buenos Aires,59534.77792351529
hombre,Mendoza,94477.406059087225
mujer,Córdoba,33446.1566918402
hombre,Córdoba,153411.09843458835
mujer,San Luis,129476.9670514649
hombre,Córdoba,112620.33426479141
mujer,Córdoba,34422.44240672742
mujer,Mendoza,28539.34817021589
hombre,Buenos Aires,188036.69316152437
otros,Santa Fe,17783.12491957403
mujer,Buenos Aires,317251.17654678243
mujer,Buenos Aires,30900.888160211787
hombre,Buenos Aires,143887.4885364926
mujer,Buenos Aires,32947.864376857426
mujer,Santa Fe,52832.74655102732
mujer,Buenos Aires,84977.90089820714
mujer,Buenos Aires,42431.20303079436
hombre,San Luis,33310.603740896026
mujer,Buenos Aires,56076.3791897828
mujer,Buenos Aires,47681.34089712444
mujer,Córdoba,60421.218628161514
mujer,Buenos Aires,149305.22981105658
mujer,Buenos Aires,130882.50035842932
mujer,Buenos Aires,79396.7394720525
hombre,Buenos Aires,377772.44468616456
hombre,San Luis,24358.05710597997
mujer,Mendoza,32335.157406617902
mujer,Mendoza,26981.218769864652
hombre,Mendoza,28229.1344969896
hombre,Buenos Aires,161685.9685709634
mujer,Buenos Aires,71202.12441265328
mujer,Buenos Aires,61644.05548506488
mujer,Córdoba,67710.23800036716
mujer,Buenos Aires,175344.81478735094
mujer,Buenos Aires,82634.69510564391
hombre,Córdoba,81601.29959878839
hombre,Mendoza,101406.33998226354
mujer,Córdoba,36409.08358905418
hombre,Santa Fe,26342.37087731177
hombre,Buenos Aires,105532.30704253513
hombre,Buenos Aires,55129.093590409946
mujer,Córdoba,26992.074754034864
hombre,Buenos Aires,185492.13681162125
mujer,San Luis,20772.916707963926
mujer,Córdoba,29346.776284608233
hombre,Mendoza,97437.84347546776
hombre,Santa Fe,57353.83578244937
mujer,Córdoba,351274.54179190844
mujer,San Luis,38363.02829632205
hombre,Mendoza,76800.97725809622
hombre,Mendoza,68993.52865072478
mujer,San Luis,48123.666301762176
hombre,Buenos Aires,140819.848407562
mujer,Mendoza,186754.37049772072
mujer,Santa Fe,55268.6366538015
mujer,Buenos Aires,20012.631245710098
mujer,Buenos Aires,152331.00353307393
hombre,Mendoza,54886.94851385433
hombre,San Luis,134551.66555017035
hombre,Buenos Aires,123103.31327938336
hombre,Buenos Aires,237693.3577258477
hombre,Mendoza,322847.43869572855
hombre,Córdoba,106463.54998912016
hombre,Córdoba,384791.76621418766
hombre,Córdoba,156386.03307162944
mujer,Mendoza,48904.848287735906
hombre,Buenos Aires,148959.27357524852
mujer,San Luis,37748.766402508074
mujer,San Luis,111330.53307191937
hombre,Buenos Aires,39133.048347746786
mujer,San Luis,107307.06885379316
